letra,letra_desc
A,AGRICULTURA
A,GANADERÍA
A,CAZA
A,SILVICULTURA Y PESCA
B,EXPLOTACIÓN DE MINAS Y EXPLOTACION DE CANTERAS
C,INDUSTRIA MANUFACTURERA
D,"SUMINISTRO DE ELECTRICIDAD,SUMINISTRO DE GAS"
D,SUMINISTRO DE VAPOR
D,SUMINISTRO DE AIRE ACONDICIONADO
E,SUMINISTRO DE AGUA
E,CLOACAS
E,GESTION DE RESIDUOS
E,RECUPERACIÓN DE MATERIALES
E,SANEAMIENTO PUBLICO
F,CONSTRUCCIÓN
G,COMERCIO AL POR MAYOR
G,COMERCIO AL POR MENOR
G,REPARACION DE VEHICULOS AUTOMOTORES
G,REPARACION DE MOTOCICLETAS
H,SERVICIO DE TRANSPORTE Y ALMACENAMIENTO
I,SERVICIOS DE ALOJAMIENTO Y SERVICIOS DE COMIDA
J,INFORMACIÓN Y COMUNICACIONES
K,INTERMEDIACIÓN FINANCIERA Y SERVICIOS DE SEGUROS
L,SERVICIOS INMOBILIARIOS
M,SERVICIOS PROFESIONALES
M,SERVICIOS CIENTIFICOS
M,SERVICIOS TECNICOS
N,ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO
O,ADMINISTRACION PUBLICA
O,DEFENSA Y SEGURIDAD SOCIAL OBLIGATORIA
P,ENSEÑANZA
Q,SALUD HUMANA Y SERVICIOS SOCIALES
R,SERVICIOS ARTISTICOS
R,SERVICIOS CULTURALES
R,SERVICIOS DEPORTIVOS
R,SERVICIOS DE ESPARCIMIENTO
S,SERVICIOS DE ASOCIACIONES Y SERVICIOS PERSONALES
Z,OTROS
